x,y,shotMade,shotType,shotDistance,description,period,videoUrl,gameDate,playerName,minutesRemaining,secondsRemaining,scoreHome,scoreAway,opponent,assistPlayerName,blockPlayerName,shotValue,distanceFt,playType,clock,clockMinutes,scoreHomePreShot,scoreAwayPreShot,isHomeTeam,shotTeam,homeTeam,awayTeam,seasonType,playoffRound,gameState
9,-9,1,Running Finger Roll Layup Shot,1,Brunson 1' Running Finger Roll Layup (10 PTS),2,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/290/9123d564-631c-003c-a63f-cfab3de088cc_1280x720.mp4,2026-06-10,Jalen Brunson,6,35,36,59,,,,2,1,Running Finger Roll Layup Shot,6:35,6.583333333333333,,,,,,,,,
11,5,1,Running Finger Roll Layup Shot,1,Brunson 1' Running Finger Roll Layup (12 PTS),2,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/293/d92b2f87-5ae0-75eb-309e-76030ec12672_1280x720.mp4,2026-06-10,Jalen Brunson,6,11,38,59,,,,2,1,Running Finger Roll Layup Shot,6:11,6.183333333333334,,,,,,,,,
66,78,0,Driving Floating Jump Shot,10,MISS Brunson 10' Driving Floating Jump Shot,2,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/307/61f7d386-9eb0-263a-7641-8b6e0454e141_1280x720.mp4,2026-06-10,Jalen Brunson,5,28,38,62,,,,2,10,Driving Floating Jump Shot,5:28,5.466666666666667,,,,,,,,,
17,267,0,Pullup Jump shot,27,MISS Brunson 27' 3PT Pullup Jump Shot,2,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/327/56528a95-3913-c29d-dce0-d47e24e356c6_1280x720.mp4,2026-06-10,Jalen Brunson,3,28,42,69,,,,2,27,Pullup Jump shot,3:28,3.466666666666667,,,,,,,,,
227,33,0,Jump Shot,,MISS Brunson 3PT Jump Shot,2,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/330/eda60398-3247-f934-20ba-ddc352882cc9_1280x720.mp4,2026-06-10,Jalen Brunson,3,15,42,69,,,,2,22.938613733179256,Jump Shot,3:15,3.25,,,,,,,,,
-127,211,1,Jump Shot,25,Brunson 25' 3PT Jump Shot (16 PTS) (Hart 3 AST),2,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/356/4b975f00-b3e4-b15b-8b3a-91fc9080ef54_1280x720.mp4,2026-06-10,Jalen Brunson,2,21,46,71,,Josh Hart,,2,25,Jump Shot,2:21,2.35,,,,,,,,,
34,60,1,Pullup Jump shot,7,Brunson 7' Pullup Jump Shot (19 PTS),2,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/372/271d0311-99f0-9086-8698-53ca1d2d0ce0_1280x720.mp4,2026-06-10,Jalen Brunson,1,16,49,73,,,,2,7,Pullup Jump shot,1:16,1.2666666666666666,,,,,,,,,
-9,99,0,Running Pull-Up Jump Shot,10,MISS Brunson 10' Running Pull-Up Jump Shot,2,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/379/b7472cbe-a397-0086-75a7-36e62bb34705_1280x720.mp4,2026-06-10,Jalen Brunson,0,26.200000762939453,49,76,,,,2,10,Running Pull-Up Jump Shot,0:26,0.43666667938232423,,,,,,,,,
-180,178,0,Jump Shot,25,MISS Brunson 25' 3PT Jump Shot,3,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/420/2a112fa2-6841-c441-7ce6-eaff13a910f1_1280x720.mp4,2026-06-10,Jalen Brunson,9,18,54,81,,,,2,25,Jump Shot,9:18,9.3,,,,,,,,,
110,226,1,Pullup Jump shot,25,Brunson 25' 3PT Pullup Jump Shot (22 PTS) (Bridges 1 AST),3,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/432/94849021-b96e-1a40-c4e1-d15be16415aa_1280x720.mp4,2026-06-10,Jalen Brunson,8,23,59,81,,Mikal Bridges,,2,25,Pullup Jump shot,8:23,8.383333333333333,,,,,,,,,
85,95,0,Fadeaway Jump Shot,13,MISS Brunson 13' Fadeaway Jumper,3,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/439/f8183280-7e36-05b1-9318-188e5dddddf4_1280x720.mp4,2026-06-10,Jalen Brunson,7,44,59,81,,,,2,13,Fadeaway Jump Shot,7:44,7.733333333333333,,,,,,,,,
115,179,1,Driving Floating Jump Shot,21,Brunson 21' Driving Floating Jump Shot (24 PTS),3,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/497/cdc40306-c3d1-d4fb-4921-6e6f66265672_1280x720.mp4,2026-06-10,Jalen Brunson,3,52,67,85,,,,2,21,Driving Floating Jump Shot,3:52,3.8666666666666667,,,,,,,,,
107,147,1,Step Back Jump shot,18,Brunson 18' Step Back Jump Shot (27 PTS),3,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/504/746a7f76-816e-a9a0-c57c-7be17e6eb16b_1280x720.mp4,2026-06-10,Jalen Brunson,3,13,70,87,,,,2,18,Step Back Jump shot,3:13,3.216666666666667,,,,,,,,,
11,15,1,Driving Finger Roll Layup Shot,2,Brunson 2' Driving Finger Roll Layup (31 PTS) (Towns 2 AST),4,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/653/6d2d2c56-f3bc-6ac6-fc3d-2b47235dee27_1280x720.mp4,2026-06-10,Jalen Brunson,5,20,92,99,,Karl-Anthony Towns,,2,2,Driving Finger Roll Layup Shot,5:20,5.333333333333333,,,,,,,,,
184,194,1,Pullup Jump shot,27,Brunson 27' 3PT Pullup Jump Shot (34 PTS) (Alvarado 3 AST),4,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/676/a1fde484-dc08-1397-6dac-6b397501843c_1280x720.mp4,2026-06-10,Jalen Brunson,2,21,103,104,,Jose Alvarado,,2,27,Pullup Jump shot,2:21,2.35,,,,,,,,,
-11,58,1,Driving Floating Jump Shot,6,Brunson 6' Driving Floating Jump Shot (36 PTS),4,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/687/16369a30-0a6a-8657-b600-40d3dc79563d_1280x720.mp4,2026-06-10,Jalen Brunson,1,22,105,104,,,,2,6,Driving Floating Jump Shot,1:22,1.3666666666666667,,,,,,,,,
-118,24,0,Fadeaway Jump Shot,12,MISS Brunson 12' Fadeaway Jumper,4,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/689/3d3c8287-6f62-2eb2-12ab-2d1e4b06b9c8_1280x720.mp4,2026-06-10,Jalen Brunson,0,39.20000076293945,105,104,,,,2,12,Fadeaway Jump Shot,0:39,0.6533333460489908,,,,,,,,,
51,20,0,Driving Floating Bank Jump Shot,5,MISS Brunson 5' Driving Floating Bank Jump Shot,4,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/712/85bb1404-5b2c-7035-70eb-b6778277182b_1280x720.mp4,2026-06-10,Jalen Brunson,0,16.100000381469727,105,106,,,,2,5,Driving Floating Bank Jump Shot,0:16,0.26833333969116213,,,,,,,,,
82,298,0,Pullup Jump shot,31,MISS Brunson 31' 3PT Pullup Jump Shot,4,https://videos.nba.com/nba/pbp/media/2026/06/10/0042500404/725/9d2bd4bb-17e2-7ecc-11d8-7394a0faa02e_1280x720.mp4,2026-06-10,Jalen Brunson,0,4.400000095367432,105,106,,,,2,31,Pullup Jump shot,0:04,0.07333333492279052,,,,,,,,,
36,68,0,Driving Floating Jump Shot,8,MISS Brunson 8' Driving Floating Jump Shot,1,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/7/16277893-1d95-5360-45df-57016be9eff0_1280x720.mp4,2026-06-13,Jalen Brunson,11,35,0,0,,,,2,8,Driving Floating Jump Shot,11:35,11.583333333333334,,,,,,,,,
173,187,1,Pullup Jump shot,25,Brunson 25' 3PT Pullup Jump Shot (3 PTS) (Bridges 1 AST),1,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/32/f2007fdb-6631-1611-e02c-d5f07d21c760_1280x720.mp4,2026-06-13,Jalen Brunson,9,30,2,3,,Mikal Bridges,,2,25,Pullup Jump shot,9:30,9.5,,,,,,,,,
-141,-5,0,Step Back Jump shot,14,MISS Brunson 14' Step Back Jump Shot,1,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/74/9e22a5f4-83b6-b873-e4fc-d20204c651b6_1280x720.mp4,2026-06-13,Jalen Brunson,5,53,11,8,,,,2,14,Step Back Jump shot,5:53,5.883333333333333,,,,,,,,,
36,66,0,Driving Floating Jump Shot,8,MISS Brunson 8' Driving Floating Jump Shot,1,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/118/890249f6-7ed8-db4a-f0a6-c507dc4c207e_1280x720.mp4,2026-06-13,Jalen Brunson,3,20,15,8,,,,2,8,Driving Floating Jump Shot,3:20,3.3333333333333335,,,,,,,,,
109,36,1,Step Back Jump shot,11,Brunson 11' Step Back Jump Shot (5 PTS),1,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/128/c1ef440a-ca27-4cd1-322c-dac5fc06dd62_1280x720.mp4,2026-06-13,Jalen Brunson,2,14,18,10,,,,2,11,Step Back Jump shot,2:14,2.2333333333333334,,,,,,,,,
136,235,1,Pullup Jump shot,27,Brunson 27' 3PT Pullup Jump Shot (8 PTS),1,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/149/6eb05adb-a609-866f-94cb-401dbfd987c6_1280x720.mp4,2026-06-13,Jalen Brunson,1,0,20,13,,,,2,27,Pullup Jump shot,1:00,1,,,,,,,,,
-25,10,0,Driving Layup Shot,3,MISS Brunson 3' Driving Layup,2,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/240/7653c554-4584-e91e-b1ae-2099858b9fd3_1280x720.mp4,2026-06-13,Jalen Brunson,6,51,31,18,,,,2,3,Driving Layup Shot,6:51,6.85,,,,,,,,,
-81,10,0,Driving Floating Jump Shot,8,MISS Brunson 8' Driving Floating Jump Shot,2,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/252/67c5d0e4-366c-3466-fe55-366964cd40eb_1280x720.mp4,2026-06-13,Jalen Brunson,5,47,33,21,,,,2,8,Driving Floating Jump Shot,5:47,5.783333333333333,,,,,,,,,
-164,204,1,Jump Shot,26,Brunson 26' 3PT Jump Shot (11 PTS),2,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/261/b3561f66-3dc3-1312-89b8-6080c3c09421_1280x720.mp4,2026-06-13,Jalen Brunson,5,28,33,24,,,,2,26,Jump Shot,5:28,5.466666666666667,,,,,,,,,
-50,95,1,Pullup Jump shot,11,Brunson 11' Pullup Jump Shot (13 PTS),2,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/270/8d122aff-13bd-86be-de06-443765a397dc_1280x720.mp4,2026-06-13,Jalen Brunson,4,44,35,26,,,,2,11,Pullup Jump shot,4:44,4.733333333333333,,,,,,,,,
-191,78,1,Jump Shot,21,Brunson 21' Jump Shot (15 PTS),2,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/273/269f9ccc-8234-bf85-bb93-ba1f065e3010_1280x720.mp4,2026-06-13,Jalen Brunson,4,6,35,28,,,,2,21,Jump Shot,4:06,4.1,,,,,,,,,
-168,201,0,Running Pull-Up Jump Shot,26,MISS Brunson 26' 3PT Running Pull-Up Jump Shot,2,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/316/8d52ed80-9185-5738-d0dd-f3f042b584df_1280x720.mp4,2026-06-13,Jalen Brunson,1,37,40,32,,,,2,26,Running Pull-Up Jump Shot,1:37,1.6166666666666667,,,,,,,,,
-44,117,1,Pullup Jump shot,13,Brunson 13' Pullup Jump Shot (18 PTS) (Robinson 2 AST),3,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/363/9cdbe65c-9226-6a7a-e24d-b709aca32d35_1280x720.mp4,2026-06-13,Jalen Brunson,10,22,45,41,,Mitchell Robinson,,2,13,Pullup Jump shot,10:22,10.366666666666667,,,,,,,,,
108,237,0,Pullup Jump shot,26,MISS Brunson 26' 3PT Pullup Jump Shot,3,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/367/2e181902-cd92-414a-49e2-c332ac162275_1280x720.mp4,2026-06-13,Jalen Brunson,9,59,45,41,,,,2,26,Pullup Jump shot,9:59,9.983333333333333,,,,,,,,,
54,160,1,Pullup Jump shot,17,Brunson 17' Pullup Jump Shot (20 PTS),3,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/389/90644e03-93d8-41ee-4c92-56faaa59dccb_1280x720.mp4,2026-06-13,Jalen Brunson,8,6,53,46,,,,2,17,Pullup Jump shot,8:06,8.1,,,,,,,,,
-31,6,1,Driving Finger Roll Layup Shot,3,Brunson 3' Driving Finger Roll Layup (22 PTS) (Hart 1 AST),3,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/405/b340d065-5a0a-ff8b-06e0-748e5bcabc6c_1280x720.mp4,2026-06-13,Jalen Brunson,7,12,55,48,,Josh Hart,,2,3,Driving Finger Roll Layup Shot,7:12,7.2,,,,,,,,,
11,264,0,Jump Shot,26,MISS Brunson 26' 3PT Jump Shot,3,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/408/5b3f659f-264d-af11-22a7-d45f84ea4c0e_1280x720.mp4,2026-06-13,Jalen Brunson,6,49,55,48,,,,2,26,Jump Shot,6:49,6.816666666666666,,,,,,,,,
-94,252,1,Pullup Jump shot,27,Brunson 27' 3PT Pullup Jump Shot (25 PTS),3,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/429/f9704c9d-a0f3-48d0-7b3b-f3bb59c34938_1280x720.mp4,2026-06-13,Jalen Brunson,5,29,59,53,,,,2,27,Pullup Jump shot,5:29,5.483333333333333,,,,,,,,,
60,127,0,Turnaround Jump Shot,14,MISS Brunson 14' Turnaround Jump Shot,3,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/450/2f016a3a-f575-fe73-fd90-7916d3c4169f_1280x720.mp4,2026-06-13,Jalen Brunson,4,3,65,53,,,,2,14,Turnaround Jump Shot,4:03,4.05,,,,,,,,,
-11,18,0,Running Finger Roll Layup Shot,2,MISS Brunson 2' Running Finger Roll Layup,3,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/515/f22411ca-adfa-4c64-3ad0-f6c3122441fa_1280x720.mp4,2026-06-13,Jalen Brunson,1,36,70,58,,,,2,2,Running Finger Roll Layup Shot,1:36,1.6,,,,,,,,,
-2,95,0,Fadeaway Jump Shot,10,MISS Brunson 10' Fadeaway Jumper,3,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/539/128568aa-56eb-3cd4-6df8-aa76519481be_1280x720.mp4,2026-06-13,Jalen Brunson,0,5.099999904632568,72,63,,,,2,10,Fadeaway Jump Shot,0:05,0.0849999984105428,,,,,,,,,
-17,6,1,Driving Finger Roll Layup Shot,2,Brunson 2' Driving Finger Roll Layup (34 PTS),4,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/619/241cb091-53ed-6d1b-f53d-23698209aecf_1280x720.mp4,2026-06-13,Jalen Brunson,7,14,83,77,,,,2,2,Driving Finger Roll Layup Shot,7:14,7.233333333333333,,,,,,,,,
11,6,1,Driving Finger Roll Layup Shot,1,Brunson 1' Driving Finger Roll Layup (36 PTS),4,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/627/e4dc3413-8249-b620-3389-c315fe4c2793_1280x720.mp4,2026-06-13,Jalen Brunson,6,28,83,79,,,,2,1,Driving Finger Roll Layup Shot,6:28,6.466666666666667,,,,,,,,,
-15,13,1,Running Finger Roll Layup Shot,2,Brunson 2' Running Finger Roll Layup (40 PTS),4,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/652/97f68e1c-6e17-5811-1b53-99a0b0caf6e7_1280x720.mp4,2026-06-13,Jalen Brunson,4,48,83,83,,,,2,2,Running Finger Roll Layup Shot,4:48,4.8,,,,,,,,,
123,67,0,Turnaround Fadeaway shot,14,MISS Brunson 14' Turnaround Fadeaway Shot,4,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/661/6998f5dd-b934-f28c-96c0-e1642f98859b_1280x720.mp4,2026-06-13,Jalen Brunson,3,54,85,83,,,,2,14,Turnaround Fadeaway shot,3:54,3.9,,,,,,,,,
143,39,0,Step Back Jump shot,15,MISS Brunson 15' Step Back Jump Shot,4,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/701/99b1cb5a-a8e4-4237-1c6f-994ad25f5a1d_1280x720.mp4,2026-06-13,Jalen Brunson,1,29,86,88,,,,2,15,Step Back Jump shot,1:29,1.4833333333333334,,,,,,,,,
-51,107,1,Driving Floating Jump Shot,12,Brunson 12' Driving Floating Jump Shot (45 PTS),4,https://videos.nba.com/nba/pbp/media/2026/06/13/0042500405/705/113ec7cb-aefd-e630-c46f-40bbf179d38b_1280x720.mp4,2026-06-13,Jalen Brunson,1,5,88,90,,,,2,12,Driving Floating Jump Shot,1:05,1.0833333333333333,,,,,,,,,
